# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: GovVariants.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Convert old Chinese Glyphs to Printed Common Traditional Chinese Characters.
# Examples : 奧 → 奥; 顚 → 顛；讪 → 訕; 讫 → 訖; 驭 → 馭
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2new.json

箩	籮
箪	簞
箫	簫
篑	簣
篓	簍
篮	籃
篯	籛
簖	籪
籁	籟
籴	糴
类	類
粜	糶
粝	糲
粪	糞
粮	糧
粵	粤
糁	糝
紧	緊
絕	絶
絷	縶
綠	緑
緖	緒
緪	縆
縕	緼
繋	繫
纉	纘
纠	糾
纡	紆
红	紅
纣	紂
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐
纾	紓
线	綫
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	絶
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绣	綉
绤	綌
绥	綏
绦	縧
继	繼
绨	綈
绩	績
绪	緒
绫	綾
续	續
绮	綺
绯	緋
绰	綽
绱	緔
绲	緄
绳	繩
维	維
绵	綿
绶	綬
绷	綳
绸	綢
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
绿	緑
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	緼
缌	緦
缎	緞
缐	線
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	繮
缱	繾
缲	繰
缳	繯
缴	繳
缵	纘
罂	罌
网	網
罗	羅
罚	罰
罢	罷
罴	羆
羁	羈
羋	芈
羟	羥
羨	羡
翘	翹
翙	翽
翚	翬
翶	翱
翺	翱
耢	耮
耧	耬
耸	聳
耼	聃
聂	聶
聋	聾
职	職
聍	聹
联	聯
聩	聵
聪	聰
肃	肅
肠	腸
肤	膚
肮	骯
肻	肯
肾	腎
肿	腫
胀	脹
胁	脅
胆	膽
胧	朧
胨	腖
胪	臚
胫	脛
胶	膠
脍	膾
脐	臍
脑	腦
脓	膿
脔	臠
脫	脱
脶	腡
脸	臉
腁	胼
腘	膕
腻	膩
腾	騰
膃	腽
膑	臏
臜	臢
臥	卧
舆	輿
舣	艤
舰	艦
舱	艙
舻	艫
艰	艱
艳	艷
艺	藝
节	節
芗	薌
芜	蕪
芦	蘆
苁	蓯
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
茍	苟
茎	莖
茏	蘢
茑	蔦
茔	塋
茕	煢
茧	繭
茲	兹
荊	荆
荙	薘
荚	莢
荛	蕘
荜	蓽
荞	蕎
荟	薈
荠	薺
荡	蕩
荣	榮
荤	葷
荥	滎
荦	犖
荧	熒
荨	蕁
荩	藎
荪	蓀
荫	蔭
荬	蕒
荭	葒
荮	葤
药	藥
莱	萊
莲	蓮
莳	蒔
莴	萵
莶	薟
莸	蕕
莹	瑩
莺	鶯
莼	蒓
萚	蘀
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蒍	蔿
蒕	蒀
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔷	薔
蔹	蘞
蔺	藺
蔼	藹
蕲	蘄
蕴	藴
薀	蕰
薮	藪
藓	蘚
蘊	藴
虏	虜
虑	慮
虛	虚
虫	蟲
虮	蟣
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚕	蠶
蚬	蜆
蛊	蠱
蛎	蠣
蛏	蟶
蛮	蠻
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蛻	蜕
蜖	蛔
蜗	蝸
蝇	蠅
蝈	蟈
蝉	蟬
蝼	螻
蝾	蠑
螨	蟎
蟏	蠨
衅	釁
衔	銜
补	補
衬	襯
袄	襖
袅	裊
袆	褘
袜	襪
袞	衮
袭	襲
袯	襏
装	裝
裆	襠
裈	褌
裢	褳
裣	襝
裤	褲
裥	襇
褛	褸
褴	襤
襕	襴
见	見
观	觀
觃	覎
规	規
觅	覓
视	視
觇	覘
览	覽
觉	覺
觊	覬
觋	覡
觌	覿
觎	覦
觏	覯
觐	覲
觑	覷
觞	觴
触	觸
觯	觶
訚	誾
詟	讋
詽	訮
誉	譽
誊	謄
說	説
謠	謡
讃	讚
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讻	訩
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	證
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
诜	詵
话	話
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诫	誡
诬	誣
语	語
诮	誚
误	誤
诰	誥
诱	誘
诲	誨
诳	誑
说	説
诵	誦
请	請
诸	諸
诹	諏
诺	諾
读	讀
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	諂
谅	諒
谆	諄
谇	誶
谈	談
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諫
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谖	諼
谗	讒
谙	諳
谚	諺
谛	諦
谜	謎
谝	諞
谞	諝
谟	謨
谠	讜
谡	謖
谢	謝
谣	謡
谤	謗
谥	謚
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谫	謭
谬	謬
谭	譚
谮	譖
谯	譙
谰	讕
谱	譜
谲	譎
谳	讞
谴	譴
谵	譫
谶	讖
豣	豜
豬	猪
豮	豶
貟	員
賛	贊
贝	貝
贞	貞
负	負
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	貳
贱	賤
贲	賁
贳	貰
贴	貼
贵	貴
贶	貺
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贽	贄
贾	賈
贿	賄
赀	貲
赁	賃
赂	賂
赃	贜
资	資
赅	賅
赆	贐
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	賫
赎	贖
赏	賞
赐	賜
赑	贔
赒	賙
赓	賡
赔	賠
赕	賧
赖	賴
赗	賵
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贋
赞	贊
赟	贇
赠	贈
赡	贍
赢	贏
赣	贛
赪	赬
赵	趙
赶	趕
趋	趨
趱	趲
趸	躉
跃	躍
跄	蹌
